pattern	chi2	cs	te.nl
ADP ADJ ADJ NOUN CCONJ	132.9787234042553	360	110
PRON AUX VERB SCONJ PRON	136.24324324324326	3	145
PRON VERB ADV	137.06922126081582	238	571
ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT	138.2429906542056	193	21
ADP ADJ ADJ NOUN	138.66666666666666	507	195
PART VERB SCONJ PRON	140.23684210526315	3	149
ADJ AUX AUX PUNCT	142.47976878612718	8	165
NOUN PROPN PUNCT	149.15992970123023	775	363
AUX PRON ADV ADV	149.4602510460251	25	214
AUX DET NOUN ADJ	151.47188264058678	233	585
ADP DET	154.94594594594594	104	377
AUX ADV ADJ	154.9718004338395	650	272
NUM NOUN PUNCT	156.34453781512605	450	145
NOUN CCONJ NOUN	159.39526627218936	606	239
NOUN PUNCT NOUN PUNCT	159.92760180995475	630	254
PROPN	160.06666666666666	539	196
PRON AUX ADV ADJ	163.79093198992445	71	326
CCONJ ADJ NOUN PUNCT	166.2520325203252	389	103
AUX VERB CCONJ	167.80645161290323	126	432
ADP DET ADJ VERB NOUN	168.87550200803213	104	394
ADP NOUN NUM	172.125	425	119
PART AUX VERB	173.33862433862433	4	185
SCONJ PRON ADJ AUX	177.33160621761658	4	189
PUNCT DET PRON VERB	179.88128772635815	398	99
NOUN PUNCT DET ADV VERB	192.27173913043478	317	51
ADP NOUN CCONJ ADJ NOUN PUNCT	193.70601092896175	668	247
PUNCT NOUN PUNCT	195.74394099051634	690	259
PRON VERB PRON ADV	200.99346405228758	29	277
PRON AUX VERB SCONJ DET NOUN	201.29493087557603	4	213
ADP DET ADJ ADJ NOUN	203.78339350180505	109	445
ADJ CCONJ ADJ NOUN PUNCT	204.86230636833045	463	118
PART VERB SCONJ DET NOUN	207.28699551569505	4	219
ADP DET ADJ PROPN	219.43189368770763	22	279
ADJ	219.88172043010752	458	1030
VERB PRON PUNCT SCONJ	220.37158469945356	325	41
PRON ADV VERB	221.1838681699913	324	829
NOUN PUNCT DET AUX	227.69516728624535	444	94
PRON PRON VERB	244.91819160387513	226	703
NOUN PUNCT NOUN CCONJ NOUN	248.1875	561	143
ADV ADJ PUNCT	248.5985765124555	998	407
PRON VERB PUNCT SCONJ	248.9124343257443	474	97
ADP ADJ CCONJ ADJ NOUN	250.83870967741936	588	156
ADP PRON NOUN PUNCT	251.30769230769232	114	510
CCONJ DET ADJ NOUN	251.83636363636364	266	779
DET ADJ NOUN	267.2409751523676	689	1444
AUX	267.56470588235294	791	1589
ADJ AUX PUNCT	268.8529862174579	117	536
ADV AUX PRON	274.26666666666665	68	442
ADJ VERB PUNCT	286.5684860968074	598	1344
PRON VERB SCONJ PRON	292.8021978021978	45	410
ADP DET ADJ	307.96039603960395	87	519
PRON AUX ADV	314.1092077087794	42	425
ADV AUX VERB	320.6692776327241	271	878
ADP DET PROPN PROPN	322.4161849710983	6	340
SCONJ DET NOUN	326.55299206921416	357	1030
ADJ NOUN PUNCT DET AUX ADJ	328.536	363	12
SCONJ PRON	344.8358208955224	232	840
SCONJ DET ADJ NOUN	344.8814968814969	193	769
AUX ADJ PUNCT SCONJ	345.2844036697248	412	24
DET	349.9432918395574	613	110
PART VERB PUNCT	353.08662900188324	49	482
PUNCT SCONJ	356.2806484295846	790	197
PRON NOUN VERB PUNCT	357.66950596252127	263	911
ADP DET ADJ NOUN PUNCT	360.4265402843602	454	1234
PART VERB	362.9391480730223	35	458
ADP NOUN	367.5107671601615	3711	2233
PART VERB CCONJ	370.636815920398	8	394
CCONJ	378.15643564356435	1447	573
PUNCT	384.6905353512537	2866	1561
ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT	389.7414829659319	29	470
PRON VERB SCONJ DET NOUN	391.61617900172115	52	529
ADV AUX DET NOUN	395.9083557951482	100	642
PUNCT ADJ NOUN ADJ PUNCT	396.7826086956522	510	42
NOUN CCONJ ADJ NOUN	426.8834399431414	1091	316
PRON AUX PRON	427.5931034482759	41	539
ADP DET PROPN	432.60985626283366	14	473
VERB PUNCT SCONJ AUX ADJ	433.2207505518764	448	5
PRON AUX DET ADJ NOUN	434.2277580071174	34	528
AUX VERB ADP DET ADJ NOUN	435.50477489768076	84	649
PRON ADJ AUX	451.7647058823529	15	495
ADP PRON NOUN	456.3333333333333	119	748
NOUN PUNCT DET VERB	478.2516010978957	908	185
ADP DET PROPN PUNCT	479.7016949152542	29	561
VERB PUNCT SCONJ	485.5061728395062	938	196
AUX ADJ	501.2561526870919	1495	496
ADP	513.1474730737366	210	997
ADP DET VERB	528.6027118644067	296	1179
NOUN PUNCT NOUN ADJ PUNCT	563.5685618729098	804	93
AUX VERB PUNCT	629.90261496844	518	1700
ADJ NOUN CCONJ ADJ NOUN PUNCT	630.3012275731822	938	121
ADJ NOUN CCONJ NOUN	663.9620661824051	1073	166
SCONJ ADJ NOUN	697.5558823529411	1167	193
ADJ NOUN PUNCT DET VERB	741.4244604316547	1010	102
ADJ NOUN PUNCT	746.8511582060128	1630	399
NOUN CCONJ NOUN PUNCT	756.872463768116	1201	179
ADJ NOUN PUNCT NOUN PUNCT	786.0113636363636	1230	178
ADJ ADJ NOUN	793.7477931904161	1354	232
DET NOUN	807.3741007194244	900	2575
PRON AUX DET NOUN	817.412915851272	54	968
ADP ADJ ADJ NOUN PUNCT	823.4744707347447	1378	228
AUX VERB ADP DET NOUN	846.4479495268139	116	1152
ADP DET NOUN ADP DET ADJ NOUN PUNCT	862.2992125984252	40	976
ADP PART VERB PUNCT	912.2085106382979	7	933
PRON VERB DET NOUN	921.6062024575775	227	1482
ADP DET NOUN ADP NOUN PUNCT	945.1146838156484	269	1597
ADP PART VERB	953.0	0	953
ADP DET VERB ADP DET NOUN	978.4185094185094	64	1157
ADP DET NOUN CCONJ DET NOUN	986.9494290375204	63	1163
ADJ NOUN	1015.3232666950234	1948	403
ADP DET ADJ NOUN	1093.5144729655926	208	1623
PRON	1114.9322135572886	703	2631
ADP ADJ NOUN PUNCT	1394.3018404907975	2696	564
DET NOUN AUX VERB	1411.2162162162163	225	1995
ADJ ADJ NOUN PUNCT	1451.4618916437098	1978	200
VERB	1721.5928338762214	5655	2020
ADP DET NOUN ADP DET NOUN PUNCT	1807.432146294514	70	2008
NOUN ADJ PUNCT	2369.4996226415096	3522	453
ADP DET NOUN	2880.5634874195434	642	4485
NOUN	6269.793969849246	8785	966
