pattern	chi2	cs	en
DET ADJ NOUN ADP NOUN	85.84126984126983	11	115
PUNCT PROPN PUNCT PROPN	89.0	89	0
DET PROPN	90.16326530612245	2	96
PRON VERB PRON	90.60377358490567	4	102
ADP DET NOUN ADP NOUN	90.91891891891892	16	132
PRON AUX ADV	91.66101694915254	7	111
DET NOUN ADP ADJ NOUN	92.23529411764706	12	124
ADJ NOUN	94.20415224913495	227	62
ADP DET NOUN PUNCT	94.88704318936877	66	235
VERB PUNCT SCONJ	97.3302752293578	106	3
PRON VERB PART VERB	105.0	0	105
DET NOUN AUX VERB	105.92215568862275	17	150
ADP NOUN PUNCT	110.39516129032258	131	365
PART VERB DET NOUN	113.0	0	113
PUNCT SCONJ	113.64900662251655	141	10
NOUN AUX VERB	114.94017094017094	35	199
NOUN ADJ PUNCT	115.85106382978724	200	35
NOUN ADP NOUN PUNCT VERB PROPN	118.0	0	118
ADJ	118.47115384615384	319	97
PRON AUX PART VERB	120.0	0	120
PRON AUX PART	124.0	0	124
PRON VERB DET NOUN	126.62790697674419	25	190
ADP NOUN	129.48992248062015	178	467
AUX DET NOUN	133.71836734693878	32	213
PRON VERB	137.26808510638298	108	362
PRON AUX ADJ	142.6172839506173	5	157
DET ADJ	152.97783933518005	63	298
AUX PART VERB	153.0	0	153
AUX PART	157.2130177514793	3	166
PRON AUX DET NOUN	158.367816091954	4	170
DET NOUN ADP NOUN PUNCT	168.77777777777777	31	248
NOUN PUNCT VERB PROPN	176.0222222222222	1	179
DET ADJ NOUN	185.01120448179273	50	307
PRON AUX VERB	218.8544061302682	11	250
ADP DET NOUN	231.17495029821075	81	422
DET NOUN ADP NOUN	232.69230769230768	25	300
AUX VERB	256.83962264150944	47	377
PART VERB	272.1267605633803	3	281
ADP	305.81723237597913	141	625
PART	308.1666666666667	20	364
NUM	320.56948228882834	355	12
X PUNCT	324.0	0	324
AUX	344.3247232472325	55	487
X	346.0	0	346
NUM PUNCT	349.17534246575343	361	4
DET	392.2532865907099	236	905
PRON AUX	410.06843267108167	11	442
PRON	569.2876557191393	87	796
DET NOUN	600.4158004158004	101	861
