pattern	chi2	cs	en
ADP NOUN PART NOUN	233.75675675675674	27	306
DET NOUN AUX ADV VERB	234.76331360946745	81	426
DET PUNCT PRON AUX	239.48692152917505	76	421
ADP PROPN PROPN	240.7715736040609	43	351
ADJ NOUN CCONJ ADJ NOUN	241.69832402234636	566	150
PRON AUX ADJ PART VERB	243.0	0	243
DET NOUN VERB	246.5232310962648	1196	2097
PRON AUX PART ADJ	247.24334600760457	4	259
PART AUX VERB	251.06177606177607	2	257
PRON VERB PUNCT SCONJ	257.7902097902098	478	94
NOUN ADP NOUN NOUN PUNCT	259.3644444444444	1898	1027
ADP DET NOUN CCONJ NOUN	270.5917098445596	227	738
ADP NOUN PUNCT	270.81938172976726	1881	998
NOUN AUX VERB	275.1044776119403	315	891
DET NOUN CCONJ NOUN ADP	277.8203821656051	159	626
AUX AUX VERB PUNCT	279.7241379310345	18	330
PRON AUX VERB PART VERB	283.0	0	283
DET PROPN PROPN PROPN	293.11803278688524	3	302
AUX	293.60547504025766	524	97
NOUN CCONJ NOUN NOUN PUNCT	293.72226593233677	941	330
PART VERB	293.8793969849246	28	370
ADJ NOUN PUNCT DET AUX ADJ	306.18848167539267	362	20
AUX ADJ PUNCT	307.8206278026906	708	184
AUX ADJ PUNCT SCONJ	309.0660377358491	393	31
DET VERB NOUN ADP DET NOUN	310.2247838616715	115	579
DET PROPN PROPN AUX VERB	316.0	0	316
ADP DET PROPN PROPN PROPN PUNCT	317.01246105919006	1	320
ADP DET PROPN PROPN	324.04819277108436	2	330
ADP DET ADJ NOUN	330.85392051557466	188	743
PART NOUN PUNCT	334.2229965156794	68	506
PRON AUX DET ADJ NOUN PUNCT	334.82750582750583	25	404
NOUN AUX AUX VERB ADP	336.1034482758621	3	345
ADP PRON NOUN PUNCT	338.16901408450707	110	600
PRON AUX PART VERB	345.0	0	345
PRON AUX ADV VERB	345.80860215053764	32	433
PUNCT ADJ NOUN ADJ PUNCT	356.8018018018018	500	55
PRON ADV VERB DET NOUN	359.54781199351703	73	544
SCONJ PRON AUX VERB	361.15744680851066	29	441
ADP DET NOUN PART NOUN	361.4117647058824	12	396
ADP PROPN PROPN PUNCT	362.02371541501975	39	467
ADP DET DET NOUN PUNCT	363.66582278481013	127	663
ADP DET NOUN ADP ADJ NOUN	365.7081712062257	120	651
DET PROPN NOUN	367.60360360360363	20	424
DET NOUN PART NOUN	369.95216400911164	18	421
DET NOUN ADP ADJ NOUN	370.2256203115984	466	1267
DET PROPN PROPN VERB	374.09326424870466	3	383
NOUN PUNCT	376.269548633185	2117	1029
VERB PUNCT SCONJ AUX ADJ	385.46320346320346	442	20
PRON AUX AUX VERB	386.6124401913876	8	410
X PUNCT	388.0	0	388
SCONJ VERB DET NOUN	394.13632030505244	203	846
PART VERB PRON	395.3436754176611	6	413
NOUN CCONJ NOUN PUNCT	396.21303656597775	982	276
AUX PART VERB	426.5589519650655	8	450
AUX DET ADJ NOUN	432.5487012987013	251	981
PART VERB PRON NOUN	439.0357941834452	2	445
PRON AUX VERB PART VERB DET NOUN	448.0	0	448
ADJ NOUN	454.23285899094435	1192	354
ADP DET PROPN	458.47169811320754	33	550
DET NOUN ADP DET PROPN NOUN	464.008547008547	1	467
ADP ADJ NOUN	464.99633923123855	1256	383
AUX ADJ	466.5089209855565	959	218
DET NOUN ADP NOUN CCONJ NOUN	473.8083889418494	172	877
DET NOUN ADP NOUN PUNCT	486.49137451307735	431	1366
ADJ NOUN CCONJ ADJ NOUN PUNCT	486.75390625	865	159
ADJ NOUN CCONJ NOUN	491.26640159045724	1185	324
DET NOUN SCONJ VERB	501.0787589498807	95	743
ADP DET NOUN ADP ADJ NOUN PUNCT	505.6635220125786	235	1037
ADP DET NOUN ADP DET PROPN PROPN	507.0	0	507
ADP DET ADJ NOUN PUNCT	511.2474437627812	478	1478
NOUN PUNCT DET VERB	519.8165898617511	918	167
ADP ADJ ADJ NOUN PUNCT	524.8832731648616	1298	364
DET ADJ NOUN AUX VERB	540.8	48	672
DET ADJ NOUN ADP NOUN	560.6598984771574	318	1258
ADP DET PROPN PROPN PUNCT	561.4317032040473	8	585
PART VERB ADJ NOUN	585.4132730015083	20	643
PRON VERB PART VERB	586.0067796610169	1	589
NOUN PUNCT NOUN ADJ PUNCT	599.5859284890427	794	73
ADP DET NOUN	628.9975384615385	307	1318
ADP DET NOUN ADP NOUN	646.5615062761507	158	1037
DET NOUN AUX VERB	662.8920225624496	167	1074
ADP DET ADJ NOUN ADP NOUN	667.9357541899441	227	1205
ADJ NOUN PUNCT DET VERB	676.4995700773861	1025	138
ADP DET DET NOUN	688.6864654333009	93	934
PRON VERB SCONJ	717.6933638443936	41	833
ADJ NOUN PUNCT	741.3707679603633	1881	541
PUNCT PRON AUX	751.1296572280179	169	1173
ADP DET NOUN PUNCT	756.0314698259904	636	2065
ADJ ADJ NOUN	770.0102564102564	1328	232
VERB PUNCT SCONJ	789.7164750957854	976	68
DET NOUN ADP NOUN	803.4474678760394	146	1177
PRON VERB PRON	865.7146619841967	73	1066
PART VERB DET ADJ NOUN	896.0176991150443	2	902
PRON AUX VERB	1059.9197786998616	104	1342
ADP DET NOUN ADP NOUN PUNCT	1100.469813391877	203	1619
ADP ADJ NOUN PUNCT	1217.2056921086676	2516	576
PART VERB DET NOUN	1268.196923076923	8	1292
PRON AUX DET NOUN	1328.7292225201072	42	1450
ADJ ADJ NOUN PUNCT	1349.9239332096474	1931	225
ADJ NOUN ADP NOUN	1519.4463676894834	3110	703
NOUN	1653.7564122021552	4945	1644
PRON VERB DET NOUN	1855.3492690636112	182	2349
NOUN ADJ PUNCT	2466.4749933844932	3416	363
VERB	3531.389916945942	5893	970
