pattern	chi2	cs	en
PROPN PUNCT	860.560236511456	590	2116
PRON VERB PRON	865.7146619841967	73	1066
PART VERB DET ADJ NOUN	896.0176991150443	2	902
ADP DET DET NOUN	939.5468852459016	164	1361
AUX AUX VERB	1008.9965397923876	38	1118
DET NOUN VERB	1009.5014218009479	1078	3142
DET NOUN ADP ADJ NOUN	1040.514487632509	557	2273
PUNCT PRON AUX	1053.1134020618556	195	1551
AUX AUX	1068.599144079886	89	1313
PRON AUX ADJ	1068.6105327617881	156	1477
ADP DET PUNCT	1078.8042123998814	732	2639
NOUN PUNCT DET VERB	1093.5753138075313	1679	233
PART VERB ADJ NOUN	1115.0927487352444	18	1168
DET ADJ NOUN ADP NOUN	1125.7018837018836	392	2050
VERB	1204.936885141178	2378	5449
PRON AUX ADV	1230.9627586206896	57	1393
PRON VERB PART VERB	1247.0031974420463	1	1250
PRON AUX PART VERB	1252.0	0	1252
PRON AUX PART	1280.0278637770898	3	1289
PROPN PROPN PUNCT	1313.8259061200238	98	1585
AUX DET NOUN	1316.7824175824176	417	2313
ADP DET PROPN PROPN	1377.10278372591	6	1395
DET NOUN AUX VERB	1377.622950819672	210	1925
ADP DET NOUN ADP NOUN PUNCT	1447.6335717290704	261	2116
ADP DET ADJ	1508.4484185634053	562	2821
ADP PROPN PROPN	1513.010428736964	55	1671
ADP DET ADJ NOUN	1561.1578485822859	555	2866
PRON AUX DET NOUN	1576.0233086981239	47	1712
NOUN AUX VERB	1645.2359651756228	495	2836
VERB PUNCT SCONJ	1661.4337921214997	1989	118
AUX PART	1708.7672183662573	42	1831
ADP DET NOUN PUNCT	1727.1438775510203	659	3261
DET PROPN PROPN	1782.2650602409637	11	1815
AUX PART VERB	1798.07903402854	6	1816
DET NOUN ADP NOUN PUNCT	1798.7867730900798	498	3010
ADP DET PROPN	1930.8723818801755	31	2022
PUNCT	1951.129097327282	5933	1999
PRON VERB	2055.215494546822	1006	4312
ADJ ADJ NOUN PUNCT	2061.448361162647	2908	326
PART VERB DET NOUN	2062.1544327931365	9	2089
PRON VERB DET NOUN	2133.653631284916	196	2668
ADP PROPN	2139.316588362848	167	2600
ADP DET NOUN ADP NOUN	2233.710991314765	304	3035
PROPN PROPN	2400.5648406066234	223	3008
PUNCT SCONJ	2436.9526627218934	3125	255
DET ADJ	2548.3086649312013	838	4540
DET PROPN	2664.6097388849685	43	2791
NOUN PUNCT	2666.091420157944	5967	1504
DET ADJ NOUN	2726.852197309417	838	4737
ADJ ADJ NOUN	2766.2877856967316	3712	357
PRON AUX VERB	2979.1247739602168	87	3231
NOUN ADJ PUNCT	3198.6262538159617	4208	378
AUX	3355.4054327409335	1051	5870
ADJ NOUN PUNCT	3408.563005780347	5299	756
AUX VERB	3411.5558823529414	566	4874
DET NOUN ADP NOUN	3950.9600278067433	493	5261
ADP	4018.5178048130715	2267	8994
NOUN	4236.729270021261	10017	2682
PRON AUX	4443.912937347437	121	4795
PART VERB	4518.3019473571585	39	4634
PART	5054.189711721043	191	5602
ADP DET NOUN	5629.9605098725315	645	7357
ADJ NOUN	5858.5537529989715	7957	796
PRON	6200.6418187442005	972	8727
PROPN	6237.069590431316	546	7731
ADJ	7343.680031378018	10326	1147
DET	10157.234529415666	1351	13726
DET NOUN	10592.426347305389	732	12628
